time,x,y,z
2.002002,-1.679251,0.455267,0.027466
2.012012,-1.684003,0.439329,0.027439
2.022022,-1.688595,0.423313,0.027413
2.032032,-1.693026,0.407219,0.027388
2.042042,-1.697296,0.391049,0.027364
2.052052,-1.701403,0.374805,0.027340
2.062062,-1.705346,0.358488,0.027317
2.072072,-1.709126,0.342100,0.027294
2.082082,-1.712742,0.325642,0.027272
2.092092,-1.716191,0.309115,0.027251
2.102102,-1.719475,0.292522,0.027230
2.112112,-1.722593,0.275863,0.027210
2.122122,-1.725543,0.259141,0.027191
2.132132,-1.728325,0.242356,0.027172
2.142142,-1.730938,0.225511,0.027154
2.152152,-1.733383,0.208606,0.027136
2.162162,-1.735658,0.191644,0.027119
2.172172,-1.737762,0.174626,0.027103
2.182182,-1.739696,0.157554,0.027088
2.192192,-1.741459,0.140429,0.027073
2.202202,-1.743049,0.123252,0.027058
2.212212,-1.744468,0.106027,0.027045
2.222222,-1.745713,0.088753,0.027032
2.232232,-1.746786,0.071433,0.027019
2.242242,-1.747684,0.054069,0.027008
2.252252,-1.748409,0.036662,0.026996
2.262262,-1.748959,0.019213,0.026986
2.272272,-1.749333,0.001725,0.026976
2.282282,-1.749533,-0.015801,0.026967
2.292292,-1.749557,-0.033363,0.026958
2.302302,-1.749405,-0.050960,0.026950
2.312312,-1.749076,-0.068590,0.026943
2.322322,-1.748571,-0.086251,0.026936
2.332332,-1.747889,-0.103941,0.026930
2.342342,-1.747029,-0.121659,0.026925
2.352352,-1.745992,-0.139403,0.026920
2.362362,-1.744777,-0.157171,0.026916
2.372372,-1.743384,-0.174962,0.026912
2.382382,-1.741813,-0.192774,0.026909
2.392392,-1.740063,-0.210605,0.026907
2.402402,-1.738135,-0.228453,0.026906
2.412412,-1.736028,-0.246316,0.026905
2.422422,-1.733743,-0.264194,0.026904
2.432432,-1.731278,-0.282083,0.026905
2.442442,-1.728634,-0.299983,0.026906
2.452452,-1.725811,-0.317891,0.026907
2.462462,-1.722808,-0.335806,0.026909
2.472472,-1.719627,-0.353726,0.026912
2.482482,-1.716266,-0.371649,0.026916
2.492492,-1.712725,-0.389573,0.026920
2.502503,-1.709005,-0.407497,0.026925
2.512513,-1.705106,-0.425418,0.026930
2.522523,-1.701028,-0.443336,0.026936
2.532533,-1.696770,-0.461247,0.026943
2.542543,-1.692333,-0.479151,0.026951
2.552553,-1.687717,-0.497046,0.026959
2.562563,-1.682922,-0.514929,0.026967
2.572573,-1.677948,-0.532799,0.026977
2.582583,-1.672795,-0.550654,0.026987
2.592593,-1.667464,-0.568493,0.026997
2.602603,-1.661954,-0.586313,0.027009
2.612613,-1.656267,-0.604112,0.027021
2.622623,-1.650401,-0.621889,0.027033
2.632633,-1.644358,-0.639643,0.027047
2.642643,-1.638137,-0.657370,0.027061
2.652653,-1.631739,-0.675070,0.027075
2.662663,-1.625164,-0.692740,0.027090
2.672673,-1.618413,-0.710378,0.027106
2.682683,-1.611485,-0.727984,0.027123
2.692693,-1.604382,-0.745555,0.027140
2.702703,-1.597103,-0.763088,0.027158
2.712713,-1.589649,-0.780584,0.027177
2.722723,-1.582020,-0.798038,0.027196
2.732733,-1.574216,-0.815450,0.027216
2.742743,-1.566239,-0.832818,0.027237
2.752753,-1.558089,-0.850140,0.027258
2.762763,-1.549765,-0.867415,0.027280
2.772773,-1.541269,-0.884639,0.027302
2.782783,-1.532602,-0.901812,0.027326
2.792793,-1.523762,-0.918932,0.027350
2.802803,-1.514752,-0.935997,0.027374
2.812813,-1.505572,-0.953005,0.027400
2.822823,-1.496222,-0.969954,0.027426
2.832833,-1.486703,-0.986842,0.027453
2.842843,-1.477015,-1.003668,0.027480
2.852853,-1.467160,-1.020430,0.027508
2.862863,-1.457137,-1.037126,0.027537
2.872873,-1.446948,-1.053754,0.027567
2.882883,-1.436593,-1.070313,0.027597
2.892893,-1.426073,-1.086800,0.027628
2.902903,-1.415389,-1.103214,0.027659
2.912913,-1.404541,-1.119553,0.027692
2.922923,-1.393530,-1.135815,0.027725
2.932933,-1.382357,-1.151998,0.027758
2.942943,-1.371023,-1.168102,0.027793
2.952953,-1.359528,-1.184123,0.027828
2.962963,-1.347874,-1.200060,0.027864
2.972973,-1.336061,-1.215912,0.027900
2.982983,-1.324090,-1.231676,0.027938
2.992993,-1.311962,-1.247351,0.027976
3.003003,-1.299679,-1.262935,0.028014
3.013013,-1.287240,-1.278427,0.028054
3.023023,-1.274646,-1.293824,0.028094
3.033033,-1.261900,-1.309125,0.028135
3.043043,-1.249001,-1.324328,0.028177
3.053053,-1.235951,-1.339432,0.028219
3.063063,-1.222751,-1.354435,0.028262
3.073073,-1.209402,-1.369334,0.028306
3.083083,-1.195904,-1.384129,0.028351
3.093093,-1.182259,-1.398818,0.028396
3.103103,-1.168469,-1.413398,0.028442
3.113113,-1.154533,-1.427869,0.028489
3.123123,-1.140453,-1.442229,0.028537
3.133133,-1.126231,-1.456475,0.028585
3.143143,-1.111867,-1.470607,0.028634
3.153153,-1.097363,-1.484623,0.028684
3.163163,-1.082720,-1.498520,0.028735
3.173173,-1.067938,-1.512298,0.028786
3.183183,-1.053020,-1.525955,0.028839
3.193193,-1.037967,-1.539489,0.028891
3.203203,-1.022779,-1.552899,0.028945
3.213213,-1.007457,-1.566182,0.029000
3.223223,-0.992005,-1.579339,0.029055
3.233233,-0.976421,-1.592366,0.029111
3.243243,-0.960709,-1.605262,0.029168
3.253253,-0.944868,-1.618026,0.029226
3.263263,-0.928901,-1.630656,0.029284
3.273273,-0.912809,-1.643151,0.029343
3.283283,-0.896593,-1.655509,0.029403
3.293293,-0.880255,-1.667729,0.029464
3.303303,-0.863796,-1.679809,0.029526
3.313313,-0.847217,-1.691748,0.029588
3.323323,-0.830520,-1.703544,0.029652
3.333333,-0.813706,-1.715195,0.029716
3.343343,-0.796777,-1.726701,0.029781
3.353353,-0.779734,-1.738060,0.029846
3.363363,-0.762579,-1.749270,0.029913
3.373373,-0.745313,-1.760331,0.029980
3.383383,-0.727938,-1.771239,0.030048
3.393393,-0.710455,-1.781995,0.030117
3.403403,-0.692865,-1.792597,0.030187
3.413413,-0.675172,-1.803044,0.030258
3.423423,-0.657375,-1.813333,0.030329
3.433433,-0.639476,-1.823465,0.030402
3.443443,-0.621478,-1.833436,0.030475
3.453453,-0.603382,-1.843247,0.030549
3.463463,-0.585188,-1.852896,0.030624
3.473473,-0.566900,-1.862381,0.030699
3.483483,-0.548519,-1.871702,0.030776
3.493493,-0.530045,-1.880857,0.030854
3.503504,-0.511482,-1.889844,0.030932
3.513514,-0.492831,-1.898663,0.031011
3.523524,-0.474092,-1.907312,0.031091
3.533534,-0.455269,-1.915791,0.031172
3.543544,-0.436363,-1.924097,0.031254
3.553554,-0.417375,-1.932230,0.031336
3.563564,-0.398307,-1.940189,0.031420
3.573574,-0.379162,-1.947973,0.031504
3.583584,-0.359940,-1.955580,0.031590
3.593594,-0.340644,-1.963009,0.031676
3.603604,-0.321276,-1.970259,0.031763
3.613614,-0.301836,-1.977329,0.031851
3.623624,-0.282328,-1.984218,0.031940
3.633634,-0.262752,-1.990926,0.032030
3.643644,-0.243111,-1.997450,0.032120
3.653654,-0.223407,-2.003790,0.032212
3.663664,-0.203641,-2.009945,0.032305
3.673674,-0.183815,-2.015915,0.032398
3.683684,-0.163931,-2.021697,0.032492
3.693694,-0.143992,-2.027291,0.032587
3.703704,-0.123998,-2.032697,0.032684
3.713714,-0.103952,-2.037912,0.032781
3.723724,-0.083856,-2.042937,0.032879
3.733734,-0.063711,-2.047771,0.032978
3.743744,-0.043520,-2.052412,0.033077
3.753754,-0.023285,-2.056860,0.033178
3.763764,-0.003007,-2.061113,0.033280
3.773774,0.017312,-2.065172,0.033382
3.783784,0.037669,-2.069035,0.033486
3.793794,0.058063,-2.072702,0.033590
3.803804,0.078491,-2.076172,0.033696
3.813814,0.098953,-2.079444,0.033802
3.823824,0.119445,-2.082517,0.033910
3.833834,0.139965,-2.085390,0.034018
3.843844,0.160512,-2.088064,0.034127
3.853854,0.181084,-2.090537,0.034237
3.863864,0.201679,-2.092809,0.034348
3.873874,0.222294,-2.094879,0.034460
3.883884,0.242928,-2.096747,0.034573
3.893894,0.263578,-2.098411,0.034687
3.903904,0.284243,-2.099872,0.034802
3.913914,0.304920,-2.101128,0.034918
3.923924,0.325608,-2.102180,0.035034
3.933934,0.346304,-2.103026,0.035152
3.943944,0.367006,-2.103667,0.035271
3.953954,0.387712,-2.104102,0.035390
3.963964,0.408421,-2.104330,0.035511
3.973974,0.429130,-2.104351,0.035632
3.983984,0.449836,-2.104164,0.035755
3.993994,0.470538,-2.103770,0.035878
4.004004,0.491235,-2.103168,0.036003
4.014014,0.511922,-2.102357,0.036128
4.024024,0.532600,-2.101337,0.036254
4.034034,0.553265,-2.100108,0.036381
4.044044,0.573915,-2.098669,0.036510
4.054054,0.594548,-2.097021,0.036639
4.064064,0.615163,-2.095163,0.036769
4.074074,0.635757,-2.093094,0.036900
4.084084,0.656328,-2.090815,0.037032
4.094094,0.676873,-2.088326,0.037164
4.104104,0.697391,-2.085626,0.037298
4.114114,0.717880,-2.082715,0.037433
4.124124,0.738337,-2.079593,0.037569
4.134134,0.758760,-2.076260,0.037705
4.144144,0.779148,-2.072716,0.037843
4.154154,0.799498,-2.068961,0.037981
4.164164,0.819808,-2.064994,0.038120
4.174174,0.840075,-2.060816,0.038261
4.184184,0.860299,-2.056427,0.038402
4.194194,0.880476,-2.051827,0.038544
4.204204,0.900604,-2.047016,0.038687
4.214214,0.920682,-2.041993,0.038831
4.224224,0.940707,-2.036760,0.038975
4.234234,0.960677,-2.031316,0.039121
4.244244,0.980590,-2.025661,0.039268
4.254254,1.000443,-2.019795,0.039415
4.264264,1.020236,-2.013719,0.039563
4.274274,1.039965,-2.007433,0.039712
4.284284,1.059629,-2.000937,0.039862
4.294294,1.079225,-1.994231,0.040013
4.304304,1.098752,-1.987316,0.040165
4.314314,1.118207,-1.980191,0.040317
4.324324,1.137588,-1.972858,0.040471
4.334334,1.156893,-1.965316,0.040625
4.344344,1.176119,-1.957566,0.040780
4.354354,1.195266,-1.949608,0.040935
4.364364,1.214330,-1.941443,0.041092
4.374374,1.233310,-1.933071,0.041249
4.384384,1.252204,-1.924493,0.041407
4.394394,1.271009,-1.915708,0.041566
4.404404,1.289724,-1.906718,0.041726
4.414414,1.308346,-1.897522,0.041886
4.424424,1.326873,-1.888122,0.042047
4.434434,1.345303,-1.878519,0.042209
4.444444,1.363635,-1.868711,0.042371
4.454454,1.381866,-1.858701,0.042534
4.464464,1.399994,-1.848489,0.042698
4.474474,1.418017,-1.838075,0.042863
4.484484,1.435934,-1.827460,0.043028
4.494494,1.453741,-1.816645,0.043193
4.504505,1.471437,-1.805630,0.043360
4.514515,1.489021,-1.794416,0.043527
4.524525,1.506490,-1.783005,0.043694
4.534535,1.523841,-1.771396,0.043862
4.544545,1.541074,-1.759590,0.044031
4.554555,1.558186,-1.747589,0.044200
4.564565,1.575175,-1.735393,0.044370
4.574575,1.592040,-1.723003,0.044540
4.584585,1.608778,-1.710420,0.044711
4.594595,1.625387,-1.697644,0.044882
4.604605,1.641865,-1.684677,0.045054
4.614615,1.658211,-1.671520,0.045226
4.624625,1.674423,-1.658173,0.045398
4.634635,1.690499,-1.644637,0.045571
4.644645,1.706436,-1.630914,0.045744
4.654655,1.722233,-1.617005,0.045918
4.664665,1.737888,-1.602910,0.046092
4.674675,1.753400,-1.588631,0.046266
4.684685,1.768766,-1.574168,0.046440
4.694695,1.783985,-1.559524,0.046615
4.704705,1.799054,-1.544698,0.046790
4.714715,1.813972,-1.529692,0.046965
4.724725,1.828737,-1.514507,0.047140
4.734735,1.843348,-1.499145,0.047315
4.744745,1.857803,-1.483606,0.047491
4.754755,1.872099,-1.467892,0.047666
4.764765,1.886235,-1.452005,0.047842
4.774775,1.900209,-1.435944,0.048017
4.784785,1.914021,-1.419712,0.048193
4.794795,1.927667,-1.403310,0.048368
4.804805,1.941146,-1.386740,0.048544
4.814815,1.954457,-1.370002,0.048719
4.824825,1.967598,-1.353097,0.048895
4.834835,1.980567,-1.336029,0.049070
4.844845,1.993362,-1.318796,0.049245
4.854855,2.005982,-1.301402,0.049420
4.864865,2.018426,-1.283848,0.049594
4.874875,2.030692,-1.266134,0.049768
4.884885,2.042777,-1.248264,0.049942
4.894895,2.054682,-1.230237,0.050116
4.904905,2.066403,-1.212055,0.050289
4.914915,2.077940,-1.193721,0.050461
4.924925,2.089290,-1.175235,0.050634
4.934935,2.100454,-1.156599,0.050805
4.944945,2.111428,-1.137815,0.050976
4.954955,2.122212,-1.118885,0.051147
4.964965,2.132804,-1.099809,0.051317
4.974975,2.143202,-1.080590,0.051486
4.984985,2.153406,-1.061229,0.051655
4.994995,2.163413,-1.041729,0.051822
5.005005,2.173223,-1.022090,0.051989
5.015015,2.182834,-1.002314,0.052156
5.025025,2.192245,-0.982403,0.052321
5.035035,2.201454,-0.962359,0.052485
5.045045,2.210460,-0.942184,0.052649
5.055055,2.219262,-0.921879,0.052811
5.065065,2.227859,-0.901446,0.052973
5.075075,2.236248,-0.880887,0.053133
5.085085,2.244430,-0.860204,0.053292
5.095095,2.252402,-0.839398,0.053450
5.105105,2.260164,-0.818472,0.053607
5.115115,2.267714,-0.797428,0.053763
5.125125,2.275052,-0.776266,0.053917
5.135135,2.282175,-0.754990,0.054070
5.145145,2.289084,-0.733601,0.054221
5.155155,2.295776,-0.712100,0.054371
5.165165,2.302251,-0.690491,0.054519
5.175175,2.308508,-0.668775,0.054666
5.185185,2.314545,-0.646953,0.054812
5.195195,2.320362,-0.625028,0.054955
5.205205,2.325958,-0.603003,0.055097
5.215215,2.331331,-0.580878,0.055238
5.225225,2.336481,-0.558656,0.055376
5.235235,2.341407,-0.536339,0.055513
5.245245,2.346107,-0.513929,0.055647
5.255255,2.350581,-0.491428,0.055780
5.265265,2.354828,-0.468839,0.055911
5.275275,2.358848,-0.446163,0.056040
5.285285,2.362638,-0.423402,0.056167
5.295295,2.366199,-0.400558,0.056291
5.305305,2.369530,-0.377635,0.056414
5.315315,2.372630,-0.354633,0.056534
5.325325,2.375498,-0.331555,0.056652
5.335335,2.378133,-0.308404,0.056767
5.345345,2.380535,-0.285181,0.056880
5.355355,2.382704,-0.261888,0.056991
5.365365,2.384637,-0.238528,0.057099
5.375375,2.386336,-0.215103,0.057205
5.385385,2.387798,-0.191616,0.057308
5.395395,2.389024,-0.168068,0.057409
5.405405,2.390013,-0.144461,0.057507
5.415415,2.390765,-0.120799,0.057602
5.425425,2.391278,-0.097083,0.057695
5.435435,2.391553,-0.073315,0.057785
5.445445,2.391589,-0.049498,0.057871
5.455455,2.391386,-0.025634,0.057955
5.465465,2.390942,-0.001726,0.058037
5.475475,2.390258,0.022225,0.058115
5.485485,2.389333,0.046216,0.058190
5.495495,2.388168,0.070244,0.058262
5.505506,2.386761,0.094307,0.058331
5.515516,2.385112,0.118404,0.058397
5.525526,2.383221,0.142530,0.058459
5.535536,2.381088,0.166686,0.058519
5.545546,2.378712,0.190866,0.058575
5.555556,2.376094,0.215071,0.058628
5.565566,2.373233,0.239296,0.058678
5.575576,2.370129,0.263540,0.058724
5.585586,2.366781,0.287801,0.058767
5.595596,2.363190,0.312075,0.058806
5.605606,2.359356,0.336361,0.058842
5.615616,2.355278,0.360655,0.058875
5.625626,2.350957,0.384957,0.058904
5.635636,2.346392,0.409262,0.058930
5.645646,2.341584,0.433569,0.058952
5.655656,2.336532,0.457876,0.058970
5.665666,2.331237,0.482179,0.058985
5.675676,2.325698,0.506477,0.058996
5.685686,2.319916,0.530767,0.059003
5.695696,2.313891,0.555046,0.059007
5.705706,2.307622,0.579313,0.059007
5.715716,2.301112,0.603564,0.059004
5.725726,2.294358,0.627797,0.058996
5.735736,2.287362,0.652010,0.058985
5.745746,2.280124,0.676200,0.058970
5.755756,2.272644,0.700364,0.058952
5.765766,2.264922,0.724501,0.058929
5.775776,2.256960,0.748608,0.058903
5.785786,2.248756,0.772682,0.058873
5.795796,2.240312,0.796721,0.058839
5.805806,2.231628,0.820723,0.058802
5.815816,2.222704,0.844684,0.058760
5.825826,2.213541,0.868603,0.058715
5.835836,2.204139,0.892476,0.058666
5.845846,2.194499,0.916302,0.058613
5.855856,2.184622,0.940078,0.058557
5.865866,2.174507,0.963802,0.058496
5.875876,2.164156,0.987470,0.058432
5.885886,2.153568,1.011081,0.058364
5.895896,2.142745,1.034632,0.058292
5.905906,2.131688,1.058121,0.058217
5.915916,2.120397,1.081544,0.058137
5.925926,2.108872,1.104901,0.058054
5.935936,2.097114,1.128187,0.057968
5.945946,2.085125,1.151401,0.057877
5.955956,2.072905,1.174541,0.057783
5.965966,2.060454,1.197603,0.057685
5.975976,2.047774,1.220586,0.057584
5.985986,2.034866,1.243486,0.057479
5.995996,2.021729,1.266302,0.057370
6.006006,2.008366,1.289030,0.057258
6.016016,1.994777,1.311670,0.057143
6.026026,1.980963,1.334217,0.057023
6.036036,1.966925,1.356670,0.056901
6.046046,1.952663,1.379026,0.056775
6.056056,1.938180,1.401283,0.056646
6.066066,1.923476,1.423439,0.056513
6.076076,1.908552,1.445490,0.056377
6.086086,1.893409,1.467435,0.056238
6.096096,1.878048,1.489271,0.056095
6.106106,1.862471,1.510996,0.055949
6.116116,1.846678,1.532607,0.055801
6.126126,1.830671,1.554102,0.055649
6.136136,1.814452,1.575479,0.055494
6.146146,1.798020,1.596735,0.055336
6.156156,1.781377,1.617868,0.055175
6.166166,1.764526,1.638875,0.055011
6.176176,1.747466,1.659755,0.054845
6.186186,1.730200,1.680504,0.054676
6.196196,1.712728,1.701121,0.054504
6.206206,1.695053,1.721604,0.054329
6.216216,1.677175,1.741949,0.054152
6.226226,1.659095,1.762155,0.053972
6.236236,1.640816,1.782219,0.053789
6.246246,1.622339,1.802139,0.053605
6.256256,1.603665,1.821913,0.053417
6.266266,1.584795,1.841539,0.053228
6.276276,1.565732,1.861014,0.053036
6.286286,1.546476,1.880336,0.052842
6.296296,1.527030,1.899502,0.052646
6.306306,1.507395,1.918512,0.052448
6.316316,1.487572,1.937361,0.052248
6.326326,1.467563,1.956049,0.052046
6.336336,1.447371,1.974573,0.051842
6.346346,1.426995,1.992931,0.051636
6.356356,1.406439,2.011121,0.051429
6.366366,1.385703,2.029140,0.051220
6.376376,1.364791,2.046987,0.051009
6.386386,1.343702,2.064658,0.050796
6.396396,1.322440,2.082154,0.050583
6.406406,1.301005,2.099470,0.050367
6.416416,1.279401,2.116605,0.050151
6.426426,1.257627,2.133558,0.049933
6.436436,1.235688,2.150325,0.049714
6.446446,1.213583,2.166906,0.049494
6.456456,1.191316,2.183297,0.049273
6.466466,1.168888,2.199497,0.049050
6.476476,1.146301,2.215504,0.048827
6.486486,1.123556,2.231316,0.048603
6.496496,1.100657,2.246931,0.048378
6.506507,1.077605,2.262347,0.048152
6.516517,1.054402,2.277563,0.047926
6.526527,1.031049,2.292575,0.047699
6.536537,1.007550,2.307383,0.047472
6.546547,0.983906,2.321985,0.047244
6.556557,0.960119,2.336378,0.047015
6.566567,0.936191,2.350560,0.046786
6.576577,0.912124,2.364531,0.046557
6.586587,0.887922,2.378288,0.046328
6.596597,0.863584,2.391830,0.046098
6.606607,0.839115,2.405154,0.045868
6.616617,0.814516,2.418258,0.045638
6.626627,0.789788,2.431142,0.045408
