time,x
2.002002,-1.679251
2.012012,-1.684003
2.022022,-1.688595
2.032032,-1.693026
2.042042,-1.697296
2.052052,-1.701403
2.062062,-1.705346
2.072072,-1.709126
2.082082,-1.712742
2.092092,-1.716191
2.102102,-1.719475
2.112112,-1.722593
2.122122,-1.725543
2.132132,-1.728325
2.142142,-1.730938
2.152152,-1.733383
2.162162,-1.735658
2.172172,-1.737762
2.182182,-1.739696
2.192192,-1.741459
2.202202,-1.743049
2.212212,-1.744468
2.222222,-1.745713
2.232232,-1.746786
2.242242,-1.747684
2.252252,-1.748409
2.262262,-1.748959
2.272272,-1.749333
2.282282,-1.749533
2.292292,-1.749557
2.302302,-1.749405
2.312312,-1.749076
2.322322,-1.748571
2.332332,-1.747889
2.342342,-1.747029
2.352352,-1.745992
2.362362,-1.744777
2.372372,-1.743384
2.382382,-1.741813
2.392392,-1.740063
2.402402,-1.738135
2.412412,-1.736028
2.422422,-1.733743
2.432432,-1.731278
2.442442,-1.728634
2.452452,-1.725811
2.462462,-1.722808
2.472472,-1.719627
2.482482,-1.716266
2.492492,-1.712725
2.502503,-1.709005
2.512513,-1.705106
2.522523,-1.701028
2.532533,-1.696770
2.542543,-1.692333
2.552553,-1.687717
2.562563,-1.682922
2.572573,-1.677948
2.582583,-1.672795
2.592593,-1.667464
2.602603,-1.661954
2.612613,-1.656267
2.622623,-1.650401
2.632633,-1.644358
2.642643,-1.638137
2.652653,-1.631739
2.662663,-1.625164
2.672673,-1.618413
2.682683,-1.611485
2.692693,-1.604382
2.702703,-1.597103
2.712713,-1.589649
2.722723,-1.582020
2.732733,-1.574216
2.742743,-1.566239
2.752753,-1.558089
2.762763,-1.549765
2.772773,-1.541269
2.782783,-1.532602
2.792793,-1.523762
2.802803,-1.514752
2.812813,-1.505572
2.822823,-1.496222
2.832833,-1.486703
2.842843,-1.477015
2.852853,-1.467160
2.862863,-1.457137
2.872873,-1.446948
2.882883,-1.436593
2.892893,-1.426073
2.902903,-1.415389
2.912913,-1.404541
2.922923,-1.393530
2.932933,-1.382357
2.942943,-1.371023
2.952953,-1.359528
2.962963,-1.347874
2.972973,-1.336061
2.982983,-1.324090
2.992993,-1.311962
3.003003,-1.299679
3.013013,-1.287240
3.023023,-1.274646
3.033033,-1.261900
3.043043,-1.249001
3.053053,-1.235951
3.063063,-1.222751
3.073073,-1.209402
3.083083,-1.195904
3.093093,-1.182259
3.103103,-1.168469
3.113113,-1.154533
3.123123,-1.140453
3.133133,-1.126231
3.143143,-1.111867
3.153153,-1.097363
3.163163,-1.082720
3.173173,-1.067938
3.183183,-1.053020
3.193193,-1.037967
3.203203,-1.022779
3.213213,-1.007457
3.223223,-0.992005
3.233233,-0.976421
3.243243,-0.960709
3.253253,-0.944868
3.263263,-0.928901
3.273273,-0.912809
3.283283,-0.896593
3.293293,-0.880255
3.303303,-0.863796
3.313313,-0.847217
3.323323,-0.830520
3.333333,-0.813706
3.343343,-0.796777
3.353353,-0.779734
3.363363,-0.762579
3.373373,-0.745313
3.383383,-0.727938
3.393393,-0.710455
3.403403,-0.692865
3.413413,-0.675172
3.423423,-0.657375
3.433433,-0.639476
3.443443,-0.621478
3.453453,-0.603382
3.463463,-0.585188
3.473473,-0.566900
3.483483,-0.548519
3.493493,-0.530045
3.503504,-0.511482
3.513514,-0.492831
3.523524,-0.474092
3.533534,-0.455269
3.543544,-0.436363
3.553554,-0.417375
3.563564,-0.398307
3.573574,-0.379162
3.583584,-0.359940
3.593594,-0.340644
3.603604,-0.321276
3.613614,-0.301836
3.623624,-0.282328
3.633634,-0.262752
