time,z
2.002002,0.027466
2.012012,0.027439
2.022022,0.027413
2.032032,0.027388
2.042042,0.027364
2.052052,0.027340
2.062062,0.027317
2.072072,0.027294
2.082082,0.027272
2.092092,0.027251
2.102102,0.027230
2.112112,0.027210
2.122122,0.027191
2.132132,0.027172
2.142142,0.027154
2.152152,0.027136
2.162162,0.027119
2.172172,0.027103
2.182182,0.027088
2.192192,0.027073
2.202202,0.027058
2.212212,0.027045
2.222222,0.027032
2.232232,0.027019
2.242242,0.027008
2.252252,0.026996
2.262262,0.026986
2.272272,0.026976
2.282282,0.026967
2.292292,0.026958
2.302302,0.026950
2.312312,0.026943
2.322322,0.026936
2.332332,0.026930
2.342342,0.026925
2.352352,0.026920
2.362362,0.026916
2.372372,0.026912
2.382382,0.026909
2.392392,0.026907
2.402402,0.026906
2.412412,0.026905
2.422422,0.026904
2.432432,0.026905
2.442442,0.026906
2.452452,0.026907
2.462462,0.026909
2.472472,0.026912
2.482482,0.026916
2.492492,0.026920
2.502503,0.026925
2.512513,0.026930
2.522523,0.026936
2.532533,0.026943
2.542543,0.026951
2.552553,0.026959
2.562563,0.026967
2.572573,0.026977
2.582583,0.026987
2.592593,0.026997
2.602603,0.027009
2.612613,0.027021
2.622623,0.027033
2.632633,0.027047
2.642643,0.027061
2.652653,0.027075
2.662663,0.027090
2.672673,0.027106
2.682683,0.027123
2.692693,0.027140
2.702703,0.027158
2.712713,0.027177
2.722723,0.027196
2.732733,0.027216
2.742743,0.027237
2.752753,0.027258
2.762763,0.027280
2.772773,0.027302
2.782783,0.027326
2.792793,0.027350
2.802803,0.027374
2.812813,0.027400
2.822823,0.027426
2.832833,0.027453
2.842843,0.027480
2.852853,0.027508
2.862863,0.027537
2.872873,0.027567
2.882883,0.027597
2.892893,0.027628
2.902903,0.027659
2.912913,0.027692
2.922923,0.027725
2.932933,0.027758
2.942943,0.027793
2.952953,0.027828
2.962963,0.027864
2.972973,0.027900
2.982983,0.027938
2.992993,0.027976
3.003003,0.028014
3.013013,0.028054
3.023023,0.028094
3.033033,0.028135
3.043043,0.028177
3.053053,0.028219
3.063063,0.028262
3.073073,0.028306
3.083083,0.028351
3.093093,0.028396
3.103103,0.028442
3.113113,0.028489
3.123123,0.028537
3.133133,0.028585
3.143143,0.028634
3.153153,0.028684
3.163163,0.028735
3.173173,0.028786
3.183183,0.028839
3.193193,0.028891
3.203203,0.028945
3.213213,0.029000
3.223223,0.029055
3.233233,0.029111
3.243243,0.029168
3.253253,0.029226
3.263263,0.029284
3.273273,0.029343
3.283283,0.029403
3.293293,0.029464
3.303303,0.029526
3.313313,0.029588
3.323323,0.029652
3.333333,0.029716
3.343343,0.029781
3.353353,0.029846
3.363363,0.029913
3.373373,0.029980
3.383383,0.030048
3.393393,0.030117
3.403403,0.030187
3.413413,0.030258
3.423423,0.030329
3.433433,0.030402
3.443443,0.030475
3.453453,0.030549
3.463463,0.030624
3.473473,0.030699
3.483483,0.030776
3.493493,0.030854
3.503504,0.030932
3.513514,0.031011
3.523524,0.031091
3.533534,0.031172
3.543544,0.031254
3.553554,0.031336
3.563564,0.031420
3.573574,0.031504
3.583584,0.031590
3.593594,0.031676
3.603604,0.031763
3.613614,0.031851
3.623624,0.031940
3.633634,0.032030
3.643644,0.032120
3.653654,0.032212
3.663664,0.032305
3.673674,0.032398
3.683684,0.032492
3.693694,0.032587
3.703704,0.032684
3.713714,0.032781
3.723724,0.032879
3.733734,0.032978
3.743744,0.033077
3.753754,0.033178
3.763764,0.033280
3.773774,0.033382
3.783784,0.033486
3.793794,0.033590
3.803804,0.033696
3.813814,0.033802
3.823824,0.033910
3.833834,0.034018
3.843844,0.034127
3.853854,0.034237
3.863864,0.034348
3.873874,0.034460
3.883884,0.034573
3.893894,0.034687
3.903904,0.034802
3.913914,0.034918
3.923924,0.035034
3.933934,0.035152
3.943944,0.035271
3.953954,0.035390
3.963964,0.035511
3.973974,0.035632
3.983984,0.035755
3.993994,0.035878
4.004004,0.036003
4.014014,0.036128
4.024024,0.036254
4.034034,0.036381
4.044044,0.036510
4.054054,0.036639
4.064064,0.036769
4.074074,0.036900
4.084084,0.037032
4.094094,0.037164
4.104104,0.037298
4.114114,0.037433
4.124124,0.037569
4.134134,0.037705
4.144144,0.037843
4.154154,0.037981
4.164164,0.038120
4.174174,0.038261
4.184184,0.038402
4.194194,0.038544
4.204204,0.038687
4.214214,0.038831
4.224224,0.038975
4.234234,0.039121
4.244244,0.039268
4.254254,0.039415
4.264264,0.039563
4.274274,0.039712
4.284284,0.039862
4.294294,0.040013
4.304304,0.040165
4.314314,0.040317
4.324324,0.040471
4.334334,0.040625
4.344344,0.040780
4.354354,0.040935
4.364364,0.041092
4.374374,0.041249
4.384384,0.041407
4.394394,0.041566
4.404404,0.041726
4.414414,0.041886
4.424424,0.042047
4.434434,0.042209
4.444444,0.042371
4.454454,0.042534
4.464464,0.042698
4.474474,0.042863
4.484484,0.043028
4.494494,0.043193
4.504505,0.043360
4.514515,0.043527
4.524525,0.043694
4.534535,0.043862
4.544545,0.044031
4.554555,0.044200
4.564565,0.044370
4.574575,0.044540
4.584585,0.044711
4.594595,0.044882
4.604605,0.045054
4.614615,0.045226
4.624625,0.045398
4.634635,0.045571
4.644645,0.045744
4.654655,0.045918
4.664665,0.046092
4.674675,0.046266
4.684685,0.046440
4.694695,0.046615
4.704705,0.046790
4.714715,0.046965
4.724725,0.047140
4.734735,0.047315
4.744745,0.047491
4.754755,0.047666
4.764765,0.047842
4.774775,0.048017
4.784785,0.048193
4.794795,0.048368
4.804805,0.048544
4.814815,0.048719
4.824825,0.048895
4.834835,0.049070
4.844845,0.049245
4.854855,0.049420
4.864865,0.049594
4.874875,0.049768
4.884885,0.049942
4.894895,0.050116
4.904905,0.050289
4.914915,0.050461
4.924925,0.050634
4.934935,0.050805
4.944945,0.050976
4.954955,0.051147
4.964965,0.051317
4.974975,0.051486
4.984985,0.051655
4.994995,0.051822
5.005005,0.051989
5.015015,0.052156
5.025025,0.052321
5.035035,0.052485
5.045045,0.052649
5.055055,0.052811
5.065065,0.052973
5.075075,0.053133
5.085085,0.053292
5.095095,0.053450
5.105105,0.053607
5.115115,0.053763
5.125125,0.053917
5.135135,0.054070
5.145145,0.054221
5.155155,0.054371
5.165165,0.054519
5.175175,0.054666
5.185185,0.054812
5.195195,0.054955
5.205205,0.055097
5.215215,0.055238
5.225225,0.055376
5.235235,0.055513
5.245245,0.055647
5.255255,0.055780
5.265265,0.055911
5.275275,0.056040
5.285285,0.056167
5.295295,0.056291
5.305305,0.056414
5.315315,0.056534
5.325325,0.056652
5.335335,0.056767
5.345345,0.056880
5.355355,0.056991
5.365365,0.057099
5.375375,0.057205
5.385385,0.057308
5.395395,0.057409
5.405405,0.057507
5.415415,0.057602
5.425425,0.057695
5.435435,0.057785
5.445445,0.057871
5.455455,0.057955
5.465465,0.058037
5.475475,0.058115
5.485485,0.058190
5.495495,0.058262
5.505506,0.058331
5.515516,0.058397
5.525526,0.058459
5.535536,0.058519
5.545546,0.058575
5.555556,0.058628
5.565566,0.058678
5.575576,0.058724
5.585586,0.058767
5.595596,0.058806
5.605606,0.058842
5.615616,0.058875
5.625626,0.058904
5.635636,0.058930
5.645646,0.058952
5.655656,0.058970
5.665666,0.058985
